Abbreviated source title,Abstract,Abstract type,Access type,Accession number,Article number,Author,Author affiliation,CODEN,Classification code,Conference code,Conference date,Conference location,Conference name,Controlled/Subject terms,Copyright,Corresponding author,DOI,Data Provider,Database,Document type,E-ISSN,Funding details,Funding text,ISBN13,ISSN,Issue,Issue date,Language,Main heading,Monograph title,Number of references,Pages,Part number,Publication year,Publisher,Source,Sponsor,Title,Title of translation,Uncontrolled terms,Volume,Volume title
Appl. Organomet. Chem.,"Seven dinuclear platinum(II) complexes with a novel chiral tetradentate ligand, (1R,1′R,2R,2′R)-N1,N1′-(1,4-phenylenebis(methylene))dicyclohexane-1,2-diamine, were designed, synthesized and spectrally characterized. All the complexes were evaluated for their in vitro cytotoxicity against human HepG-2, A549, HCT-116 and MCF-7 cancer cell lines. The results indicated that all compounds showed positive biological activity against HepG-2, A549 and HCT-116 cancer cell lines. In particular, compounds D7 and D2 showed better activity than carboplatin against HepG-2 and A549 and compound D7 also showed an activity close to that of oxaliplatin. © 2015 John Wiley & Sons, Ltd.",,,20152000847175,,"Gao, Chuanzhu (1, 3, 4); Zhang, Yan (1); Wang, Tianshuai (1); Chen, Ji (1); Qian, Yunxu (1); Yang, Bo (1); Gou, Shaohua (2); Dong, Peng (3, 4); Zhang, Yingjie (3, 4) ",(1) Faculty of Life Science and Technology Kunming University of Science and Technology Kunming 650500 China (2) Jiangsu Province Hi-Tech Key Laboratory for Biomedical Research Southeast University Nanjing 211189 China (3) Faculty of Materials Science and Engineering Kunming University of Science and Technology Kunming 650500 China (4) Engineering Laboratory for Advanced Battery and Material of Yunnan Province Kunming 650500 China ,AOCHEX,461.2 Biological Materials and Tissue Engineering - 461.6 Medicine and Pharmacology - 801.4 Physical Chemistry - 802.2 Chemical Reactions,,,,,Bioactivity - Cell culture - Cells - Diseases - Indium compounds - Ligands - Synthesis (chemical),"Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Zhang, Yan(yingjie@kmust.edu.cn) ",10.1002/aoc.3323,Engineering Village,Compendex,Article in Press,10990739.0,,,,02682605,,2015,English,Platinum compounds,,,,,2015,"John Wiley and Sons Ltd, Southern Gate, Chichester, West Sussex, PO19 8SQ, United Kingdom",Applied Organometallic Chemistry,,Novel antitumor dinuclear platinum (II) complexes with a new chiral tetradentate ligand as the carrier group,,Anti-tumor activities - Anti-tumors - Cancer cell lines - Carboplatin - Dinuclear platinum complexes - Intercalative binding - Oxaliplatin - Tetradentate ligands,,
Water Resour. Manage.,"In this study, an improved single-step method (SSM) is developed based on two-step method (TSM) to solve the interval-parameter linear programming (ILP) model of which the right-hand sides are highly uncertain. Two numerical examples are presented to ascertain appropriate value of λ in SSM. The risk preference degree of λ could be 0.8 for maximum objective function type. To demonstrate the applicability of the developed method, an agricultural water management problem has been provided in the case study section. The results show that SSM is more effective than TSM for complete solutions. There is only partial solution obtained from the first submodel of TSM, because the right-hand side of the wheat output constraint is highly uncertain. Finally, local farmers’ net benefit reaches to [8.949, 12.442] × 108RMB (the unit of Chinese currency). The priority order of crops that are needed to be irrigated by surface water is maize > wheat > cotton. © 2015 Springer Science+Business Media Dordrecht",,,20154701589257,,"Yang, Gaiqiang (1, 2); Guo, Ping (1, 4); Li, Mo (1); Fang, Shiqi (1); Zhang, Liudong (1, 3) ","(1) Centre for Agricultural Water Research in China, China Agricultural University, Beijing; 100083, China (2) Institute of Environmental Science, Taiyuan University of Science and Technology, Taiyuan; Shanxi; 030024, China (3) College of Water Conservancy and Hydropower and Architecture Engineering, Yunnan Agricultural University, Kunming; 650201, China (4) College of Water Conservancy and Civil Engineering, China Agricultural University, Beijing; 100083, China ",,444.1 Surface Water - 821.3 Agricultural Methods - 922.1 Probability Theory,,,,,Irrigation - Linear programming - Surface waters - Water management,"Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Guo, Ping(guop@cau.edu.cn) ",10.1007/s11269-015-1186-5,Engineering Village,Compendex,Article in Press,15731650.0,,,,09204741,,"November 15, 2015",English,Uncertainty analysis,,,1-29,,2015,Springer Netherlands,Water Resources Management,,An Improved Solving Approach for Interval-Parameter Programming and Application to an Optimal Allocation of Irrigation Water Problem,,Agricultural water management - Interval linear programming - Interval parameter - Single-step method - Two step method,,
Industrial Mech. Manuf. Sci. Proc. Intl. Conf. Indust. Mech. Manuf. Sci.,"Based on the method of Shift-Share Analysis (referred to as SSA), the benefits between the ethnic culture tourism industry of Yunnan and the domestic tourism industry of China; the relationship between the benefit of ethnic culture tourism industry and the total GDP in Yunnan during the period of 2003–2012 were analyzed. This paper showed that the developing trend of ethnic culture tourism industry in Yunnan during the ten years is increasing year by year, the regional competitive advantage became stronger and stronger, which also showed a growth momentum to the benefit of the domestic tourism industry; at the same time, it also contributed to the GDP of Yunnan at the same period. Through the analysis, the conclusion is that ethnic culture tourism industry should be developed vigorously in Yunnan where it is rich in ethnical culture resources, and the local ethnic cultural tourism should be seen as a pillar industry to develop, so that it can become the new growth point for the development of regional economy in Yunnan. © 2015 Taylor & Francis Group, London.",,,20153801285235,,"Xie, Hongyu (1); Yi, Jidong (2); Gan, Jianhou (2); Zhao, Zhilin (3) ","(1) College of Travelism and Geography Sciences, Yunnan Normal University, Kunming, China (2) Key Laboratory of Educational Informalization for Nationalities, Ministry of Education, YNNU, Kunming, China (3) College of Travelism and Geography Sciences, YNNU, Kunming, China ",,403.2 Regional Planning and Development - 911.2 Industrial Economics,113899.0,"June 12, 2014 - June 13, 2014","Tianjin, China","International Conference on Industrial, Mechanical and Manufacturing Science, ICIMMS 2014",Regional planning,"Compilation and indexing terms, Copyright 2019 Elsevier Inc.",,,Engineering Village,Compendex,Conference article (CA),,,,9781138026568.0,,,2015,English,Competition,,5.0,125-130,1 of 1,2015,CRC Press/Balkema,"Industrial, Mechanical and Manufacturing Science - Proceedings of the 2014 International Conference on Industrial, Mechanical and Manufacturing Science, ICIMMS 2014",,Study on the benefit of ethnic culture tourism industry in Yunnan based on method of SSA,,Competitive advantage - Developing trend - Domestic tourisms - Ethnic culture tourism - Industrial benefits - Regional economy - Shift-Share analysis - Tourism industry,,
Biotechnol. Lett.,"Cytosolic ascorbate peroxidase 1 (APX1) plays a crucial role in regulating the level of plant cellular reactive oxygen species and its thermolability is proposed to cause plant heat-susceptibility. Herein, several hyper-acidic fusion partners, such as the C-terminal peptide tails, were evaluated for their effects on the thermal stability and activity of APX1 from Jatropha curcas and Arabidopsis. The hyper-acidic fusion partners efficiently improved the thermostability and prevented thermal inactivation of APX1 in both plant species with an elevated heat tolerance of at least 2 °C. These hyper-acidified thermostable APX1 fusion variants are of considerable biotechnological potential and can provide a new route to enhance the heat tolerance of plant species especially of inherent thermo-sensitivity. © 2014, Springer Science+Business Media Dordrecht.",,,20151200668120,,"Zhang, Mengru (1); Gong, Ming (1); Yang, Yumei (1); Li, Xujuan (2); Wang, Haibo (3); Zou, Zhurong (1) ","(1) Key Laboratory of Biomass Energy and Environmental Biotechnology of Yunnan Province, Engineering Research Center of Sustainable Development and Utilization of Biomass Energy, Ministry of Education, School of Life Sciences, Yunnan Normal University, Kunming; Yunnan; 650500, China (2) Yunnan Key Laboratory of Sugarcane Genetic Improvement, Sugarcane Research Institute, Yunnan Academy of Agricultural Sciences, Kaiyuan; Yunnan; 661600, China (3) College of Biological Resources and Environmental Science, Qujing Normal University, Qujing; Yunnan; 655011, China ",BILED3,641.1 Thermodynamics,,,,,Stability,"Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Zou, Zhurong(zzr09@sina.com) ",10.1007/s10529-014-1754-4,Engineering Village,Compendex,Journal article (JA),15736776.0,,,,01415492,4.0,2015,English,Thermodynamic stability,,22.0,891-898,,2015,Kluwer Academic Publishers,Biotechnology Letters,,Improvement on the thermal stability and activity of plant cytosolic ascorbate peroxidase 1 by tailing hyper-acidic fusion partners,,Ascorbate peroxidase - Biotechnological potentials - C-terminal peptides - Cellular reactive oxygen species - Fusion partners - Jatropha curcas - Thermal inactivation - Thermostability,37.0,
"Int. Conf. Affect. Comput. Intell. Interact., ACII","Text-based sentiment analysis is a growing research field in affective computing, driven by both commercial applications and academic interest. Continuous dimensional representations, such as valence-arousal (VA) space, can represent the affective state more precisely than discrete effective representations. In building dimensional sentiment applications, affective lexicons with valence-arousal ratings are useful resources but are still very rare. Therefore, recent studies have investigated the automatic development of VA lexicons using linear regression techniques. One of the major limitations of linear regression is the under-fitting problem which can cause a poor fit between the algorithm and the training data. To tackle this problem, this study proposes the use of a locally weighted linear regression (LWLR) model to predict the valence-arousal ratings of affective words. The locally weighted method performs a regression around the point of interest using only training data that are local to that point, and thus can reduce the impact of noise from unrelated training data. Experimental results show that the proposed method achieved better performance for VA word prediction. © 2015 IEEE.",,,20161502238709,7344604,"Wang, Jin (1, 2); Lai, K. Robert (1); Yu, Liang-Chih (1); Zhang, Xue-Jie (2) ","(1) Department of Computer Science and Engineering, Innovation Center for Big Data and Digital Convergence, Yuan Ze University, Taoyuan, Taiwan (2) School of Information Science and Engineering, Yunnan University, Kunming, China ",,723.2 Data Processing and Image Processing - 723.4 Artificial Intelligence - 922.2 Mathematical Statistics,118715.0,"September 21, 2015 - September 24, 2015","Xi'an, China","2015 International Conference on Affective Computing and Intelligent Interaction, ACII 2015",Data mining - Forecasting - Intelligent computing - Sentiment analysis,"Compilation and indexing terms, Copyright 2019 Elsevier Inc.",,10.1109/ACII.2015.7344604,Engineering Village,Compendex,Conference article (CA),,,,9781479999538.0,,,"December 2, 2015",English,Linear regression,"2015 International Conference on Affective Computing and Intelligent Interaction, ACII 2015",32.0,415-420,1of1,2015,Institute of Electrical and Electronics Engineers Inc.,"2015 International Conference on Affective Computing and Intelligent Interaction, ACII 2015",,A locally weighted method to improve linear regression for lexical-based valence-arousal prediction,,Affective Computing - affective lexicon - ANEW - Commercial applications - Dimensional representation - Fitting problems - Linear regression techniques - Point of interest,,
J. Phys. Chem. C,"A series of sodium zinc gallogermanate sosoloid Na2-y(Zn1-xGax)GeO4: yTb3+(x = 0, 0.1, 0.12, 0.15, 0.18, and 0.20; y = 0, 0.01, 0.02, 0.03, and 0.04) samples were successfully synthesized and their luminescence properties were investigated. It was found that Zn vacancies could be the predominant contribution to the enhancement of PL and LLP intensities when Ga3+ions were introduced as solute atoms substituted the crystal sites of Zn2+in Na2ZnGeO4host. Zn vacancies act not only as an exciton energy-level participated in the PL process but also as trapping centers contributed to the LLP process. Furthermore, the energy transfer processes from Na2(Zn0.8Ga0.2)GeO4host to Tb3+ions in PL and LLP were identified. Accordingly, the LLP colors changed from blue to green with increasing concentration of Tb3+and the mechanism of which was proposed. Besides, after irradiation with 800 nm femtosecond pulsed laser, a blue upconversion LLP phenomenon was clearly observed in Na2(Zn0.8Ga0.2)GeO4for the first time. Analysis suggested that multiphoton absorption process was dominant in this upconversion luminescence, and subsequently the carriers excited into conduction band were captured by the trapping centers. Then the realization of LLP was due to the thermal stimulated recombination of holes and electrons at traps. Our results indicated that the blue-green emitting phosphor of Na2(Zn0.8Ga0.2)GeO4: Tb3+could be a new member in the family of LLP materials, which could also provide potential applications in the fabrication of optical memory. © 2015 American Chemical Society.",,,20152600983293,,"Wang, Ting (1); Bian, Wenjuan (1); Zhou, Dacheng (1, 2); Qiu, Jianbei (1, 2); Yu, Xue (1, 2); Xu, Xuhui (1, 2) ","(1) School of Materials Science and Engineering, Kunming University of Science and Technology, Xuefu RD, Kunming; 650093, China (2) Key Laboratory of Advanced of Materials, Yunnan Province, Kunming; 650093, China ",,546.3 Zinc and Alloys - 741.1 Light/Optics,,,,,Energy transfer - Gallium compounds - Luminescence - Multiphoton processes - Sodium compounds - Terbium compounds - Zinc,"Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Yu, Xue(yuyu6593@126.com) ",10.1021/acs.jpcc.5b03909,Engineering Village,Compendex,Journal article (JA),19327455,,,,19327447,25,"June 25, 2015",English,Germanium compounds,,31.0,14047-14055,,2015,American Chemical Society,Journal of Physical Chemistry C,,Tunable LLP via energy transfer between Na2- y(Zn1- xGax)GeO4sosoloid host and emission centers with the assistance of Zn vacancies,,Blue upconversion - Emission centers - Energy transfer process - Femtosecond pulsed laser - Green-emitting phosphors - Luminescence properties - Multi-photon absorption - Up-conversion luminescence,119,
Astron. Astrophys.,"Aims. Two-dimensional magnetohydrodynamic (MHD) simulations are used to model the emission properties of TeV-bright shell-type supernova remnants (SNRs) and to explore their nature. Methods. In the leptonic scenario for the TeV emission, the α-ray emission is produced via inverse Compton scattering of background soft photons by high-energy electrons accelerated by the shocks of the SNRs. In a previous paper, we showed that since the energy densities of the cosmic microwave background radiation and that of the IR/optical background photons are much higher than that of the photons produced by the same high-energy electrons via the synchrotron process, the observed correlation between X-ray and TeV brightness of SNR RXJ1713.7-3946 can be readily explained with the assumption that the energy density of relativistic electrons is proportional to that of the magnetic field. The TeV emissivity is therefore proportional to the magnetic field energy density and MHD simulations can be used to model the TeV structure of such remnants directly. Two-dimensional MHD simulations for SNRs are then performed under the assumption that the ambient interstellar medium is turbulent with the magnetic field and density fluctuations, following a Kolmogorov-like power-law spectrum. Results. (1) As expected, these simulations confirm early 1D and 2D modelings of these sources, namely the hydrodynamical evolution of the shock waves and amplification of magnetic field by Rayleigh-Taylor convective flows and by shocks propagating in a turbulent medium; (2) we reproduce rather complex morphological structure for α-rays, for example, the bright thin rim and significant asymmetry, suggesting intrinsic variations of the source morphology not related to the structure of the progenitor and environment; and (3) the observed radial profile of several remnants are well reproduced with an ambient medium density of 0.1-1 cm-3. An even lower ambient density leads to a sharper drop of the TeV brightness with radius than what is observed near the outer edge of these remnants. Conclusions. In a turbulent background medium, we can reproduce the observed characteristics of several shell-type TeV SNRs with reasonable parameters except for a higher ambient density than that inferred from X-ray observations. © ESO 2014.",,,20145100332628,A37,"Yang, Chuyuan (1, 2); Liu, Siming (3); Fang, Jun (4); Li, Hui (5) ","(1) Yunnan Observatories, Chinese Academy of Sciences, Kunming; 650011, China (2) Key Laboratory for the Structure and Evolution of Celestial Objects, Chinese Academy of Sciences, Kunming; 650011, China (3) Key Laboratory of Dark Matter and Space Astronomy, Purple Mountain Observatory, Chinese Academy of Science, Nanjing; 210008, China (4) Department of Astronomy, Yunnan University, Kunming; 650091, China (5) Los Alamos National Laboratory, Los Alamos; NM; 87545, United States ",AAEJAF,615.3 Magnetohydrodynamics (MHD) Power Generation - 657.2 Extraterrestrial Physics and Stellar Phenomena - 931 Classical Physics; Quantum Theory; Relativity - 931.3 Atomic and Molecular Physics - 932.1 High Energy Physics,,,,,Alpha particles - Cosmology - Inverse problems - Luminance - Magnetohydrodynamics - Neutrons - Photons - Shock waves - Supernovae - Turbulence - X rays,"Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Yang, Chuyuan ",10.1051/0004-6361/201424667,Engineering Village,Compendex,Journal article (JA),14320746,,,,00046361,,"January 1, 2015",English,Tellurium compounds,,56.0,,,2015,EDP Sciences,Astronomy and Astrophysics,,The structure of TeV-bright shell-type supernova remnants,,Complex morphological structure - Cosmic microwave background radiation - High-energy electron - Inverse Compton scattering - Magnetic field energy - Magnetohydrodynamic simulations - Radiation mechanisms: non thermal - Relativistic electron,573,
"Proc. Chin. Control Decis. Conf., CCDC","Scheduling problems in manufacturing systems and industrial engineering are very complex. If the scale of a problem exceeds a certain threshold, the problem is difficult to solve by traditional or formal optimization approaches. In this paper, scheduling problem is modeled with interval indexed formulation. In the model, intervals formation are very important to the efficiency of the algorithm. We proposed two methods for improving the intervals. First method is increasing time limit approach and the second one is long-short time limit approach. We test our algorithm on a kind of NP-hard problem-single machine total weighted tardiness problem. The results give a validation that the approach we presented have promising to be used to some traditional hard problems, especially, to single machine schuduling problem. © 2015 IEEE.",,,20154401482545,7162245,"Wang, Yong Ming (1); Yin, Hong Li (2) ","(1) School of Management and Economics, Kunming University of Science and Technology, Kunming, China (2) School of Computer Science and Information Technology, Yunnan Normal University, Kunming, China ",,,115665.0,"May 23, 2015 - May 25, 2015","Qingdao, China","27th Chinese Control and Decision Conference, CCDC 2015",,"Compilation and indexing terms, Copyright 2019 Elsevier Inc.",,10.1109/CCDC.2015.7162245,Engineering Village,Compendex,Conference article (CA),,,,9781479970179.0,,,"July 17, 2015",English,,"Proceedings of the 2015 27th Chinese Control and Decision Conference, CCDC 2015",12.0,1980-1982,,2015,Institute of Electrical and Electronics Engineers Inc.,"Proceedings of the 2015 27th Chinese Control and Decision Conference, CCDC 2015",,Improved interval indexed formulation based heuristic algorithm for scheduling problem,,,,
"Proc. - Int. Conf. Intell. Networks Intell. Syst., ICINIS","Nowadays, with the rapid development of distributed computing, message distribution has been more and more important to distributed systems. Kafka was developed to collect and distribute massive messages for distributed systems. It is a high-throughput distributed messaging system. Kafka can always keep stable performance even if it processes millions of messages per second. Messages are persistent in Kafka, and Kafka is able to scale out easily. Besides, it is suitable for both online and offline processing simultaneously. Existing messaging systems all have some disadvantages. In comparison with these messaging systems, Kafka has superior performance. Therefore, Kafka has already been successfully used in production by some companies for a certain time. Though Kafka is still able to be improved in some aspects, it's expected to have broad development prospects. © 2015 IEEE.",,,20164302944316,7528900,"Wang, Zhenghe (1); Dai, Wei (1); Wang, Feng (1); Deng, Hui (1); Wei, Shoulin (1); Zhang, Xiaoli (1); Liang, Bo (1) ","(1) Yunnan Key Laboratory of Computer Technology Applications, Kunming University of Science and Technology, Kunming; 650500, China ",,722.4 Digital Computers and Systems - 723.2 Data Processing and Image Processing - 723.4 Artificial Intelligence,123145.0,"November 1, 2015 - November 3, 2015","Tianjin, China","8th International Conference on Intelligent Networks and Intelligent Systems, ICINIS 2015",Data handling - Data processing - Intelligent networks - Intelligent systems - Throughput,"Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Dai, Wei(dw@cnlab.net) ",10.1109/ICINIS.2015.53,Engineering Village,Compendex,Conference article (CA),,"Number: 11103005, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; Number: 11163004, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; Number: 11203011, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; Number: 11403009, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; Number: U1231205, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; ","Our work is supported by the National Natural Science Foundation of China (grant Nos. 11103005, U1231205, 11163004, 11203011, 11403009).",9781479988228.0,,,"August 1, 2016",English,Distributed computer systems,"Proceedings - 8th International Conference on Intelligent Networks and Intelligent Systems, ICINIS 2015",33.0,117-120,1of1,2015,Institute of Electrical and Electronics Engineers Inc.,"Proceedings - 8th International Conference on Intelligent Networks and Intelligent Systems, ICINIS 2015",et al.; IEEE Computer Society; Institute of Electrical and Electronics Engineers; Intelligent Networks and Systems Society (INASS); Japanese Neural Network Society; Tianjin University of Technology and Education,Kafka and its using in high-throughput and reliable message distribution,,Development prospects - Distributed - Distributed messaging - Distributed systems - High throughput - Message distribution - Messaging - Off-line processing,,
IET Conf Publ,"Synthetic aperture radar (SAR) on a satellite or a plane is a useful tool for ship target detection because it can work in all weather conditions, day and night. However, speckles of sea clutters and heterogeneous sea regions in SAR images will pose challenges on a task of automatic ship detection. In this paper, we propose a visual saliencybased method for ship detection in SAR images. The proposed method is automatic, simple and fast in computation, and has the ability to detect ship targets in SAR data. Experiments conducted over a set of real SAR data show that the proposed method is capable of detecting ships accurately and robust against speckles of sea clutters and heterogeneous sea regions.",,,20162402497698,,"Yu, Ying (1); Bi, Fukun (2); Pu, Yuanyuan (1); Zhou, Hao (1); Yang, Jian (1) ","(1) School of Information Science and Engineering, Yunnan University, Kunming, China (2) School of Electronic Information Engineering, North China University of Technology, Beijing, China ",,716.1 Information Theory and Signal Processing - 716.2 Radar Systems and Equipment - 741.1 Light/Optics - 921.1 Algebra,121050.0,"October 14, 2015 - October 16, 2015","Hangzhou, China",IET International Radar Conference 2015,Clutter (information theory) - Hadamard transforms - Object recognition - Ships - Speckle - Synthetic aperture radar - Tracking radar,"Compilation and indexing terms, Copyright 2019 Elsevier Inc.",,,Engineering Village,Compendex,Conference article (CA),,"Number: 61163024, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; Number: 61263048, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; Number: 61271361, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; ","This work was supported by the National Natural Science Foundation of China under Grant 61263048, Grant 61271361, and Grant 61163024, by the Scientific Research Foundation of Yunnan Provincial Department of Education (2012Y277), by the Scientific Research Project of Yunnan University (2011YB21), and by the Young and Middle-Aged Backbone Teachers' Cultivation Plan of Yunnan University (XT412003).",,,CP677,2015,English,Radar imaging,,16.0,,1of1,2015,Institution of Engineering and Technology,IET Conference Publications,,Saliency-based ship detection in SAR images,,A-plane - SAR data - SAR Images - Sea clutters - Ship detection - Ship targets - Visual saliency - Walsh Hadamard Transforms,2015,
RSC Adv.,"A near-infrared colorimetric and fluorescent chemosensor for detecting phosphate ion (Pi) has been developed. The chemosensor's sensing mechanism is based on the Pi-driven cleavage of an amide bond which releases a fluorophore. The chemosensor exhibits a rapid response and high sensitivity towards Pi in DMSO-HEPES buffer (0.02 M, pH = 7.0) (v/v = 9:1). A colorimetric change with a 70 nm red-shift in the UV-vis absorbance spectrum and a 72-fold enhancement in the ratio of fluorescence intensities at 656 nm and 552 nm were observed. The practical utility of this chemosensor was demonstrated by employing it to detect Pi in Paramecium and C. elegans. © 2015 The Royal Society of Chemistry.",,,20153601232076,,"Zang, Tie Nan (1); Zhao, Rui Rui (1); Yang, Xing Zhu (1); Gao, Yan (1); Wang, Guang Ke (1); Zhou, Ying (1); Liu, Bo (2); Zhang, Jun Feng (2) ","(1) Key Laboratory of Medicinal Chemistry for Natural Resource, School of Chemical Science and Technology, Yunnan University, Kunming; 650091, China (2) College of Chemistry and Chemical Engineering, Yunnan Normal University, Kunming; 650500, China ",RSCACL,461.9 Biology - 741.1 Light/Optics - 941.4 Optical Variables Measurements,,,,,Color - Colorimetry - Fluorescence - Physiology,"Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Zhou, Ying(yingzhou@ynu.edu.cn) ",10.1039/c5ra12835h,Engineering Village,Compendex,Journal article (JA),20462069,,,,,88,"August 7, 2015",English,Infrared devices,,29.0,71756-71759,,2015,Royal Society of Chemistry,RSC Advances,,A near-infrared chemodosimeter with Pi-selective colorimetric and fluorescent sensing and its application in vivo imaging,,Colorimetric and fluorescent chemosensor - Colorimetric change - Fluorescence intensities - Fluorescent sensing - High sensitivity - ITS applications - Sensing mechanism - UV-vis absorbance,5,
Mater. Sci. Forum,"Large-area SiNWs has been successfully fabricated through one-step metal-assisted chemical etching process at room temperature. The effects of key fabrication parameters (AgNO3concentration, Fe(NO3)3concentration, and etching time) on the nanostructure SiNWs were carefully investigated by SEM, TEM, respectively. The results show that AgNO3concentration and Fe(NO3)3concentration play important roles to the lengths and arrangements of SiNWs arrays in one-step MACE. The morphological transition of Si surfaces from solid nanowires to porous nanowires can be found with increasing AgNO3concentration and Fe(NO3)3concentration, which indicates that the re-dissolved Ag+would work as the main oxidative species for oxidizing the silicon substrate and forming SiNWs in the HF/ AgNO3/ Fe(NO3)3etching system. The length of SiNWs is increased with increasing AgNO3concentration from 0.005 mol/L to 0.02 mol/L and etching time, the chemical polish phoenomenon can be observed when the Fe(NO3)3concentration increases to 0.5 mol/L. A novel mechanism is proposed to explain the formation of SiNWs in HF/ AgNO3/ Fe(NO3)3solution. © (2015) Trans Tech Publications, Switzerland.",,,20150600501793,,"Xiao, Yong Yin (1); Chen, Xiu Hua (1); Ma, Wen Hui (3); Li, Shao Yuan (2); Li, Yu Ping (1); He, Jia Li (1); Li, Jiao (1); Zhang, Hui (1) ","(1) Yunnan University, Kunming, China (2) National Engineering Laboratory of Vacuum Metallurgy, Kunming University of Science and Technology, Kunming, China (3) Kunming University of Science and Technology, Kunming, China ",MSFOEP,549.3 Nonferrous Metals and Alloys excluding Alkali and Alkaline Earth Metals - 761 Nanotechnology - 802.2 Chemical Reactions - 804 Chemical Products Generally - 804.2 Inorganic Compounds - 933 Solid State Physics - 951 Materials Science,113089.0,"August 26, 2014 - August 28, 2014","Xi’an, China","2014 - China Functional Material Technology and Industry Forum, CFMTIF 2014",Etching - Fabrication - Functional materials - Hydrofluoric acid - Iron compounds - Nanowires - Porous silicon - Silicon compounds - Silicon oxides,"Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Xiao, Yong Yin(xyysilicon@163.com) ",10.4028/www.scientific.net/MSF.809-810.93,Engineering Village,Compendex,Conference article (CA),,,,9783038353522.0,02555476,,2015,English,Silver compounds,,13.0,93-98,1 of 1,2015,Trans Tech Publications Ltd,Materials Science Forum,China Functional Materials Society; Chongqing Materials Research Institute; National Instrument Functional Materials Engineering Technology Research Center,Influence of fabrication parameter on the nanostructure of SiNWs under HF/AgNO3/Fe(NO3)3etching system,,Etching systems - Fabrication parameters - Metal-assisted chemical etching - Morphological transitions - One-step MACE - Oxidative species - Silicon nanowires - Silicon substrates,809-810,2014 - China Functional Materials Technology and Industry Forum
Rock Soil Mech,"Using the theory of upper bound limit analysis method and the volume force increment method, considering the defects of limit analysis model of a single sliding surface, an arbitrary block model considering the dislocation effects of multiple rock layers with structural joints is established. When the rock mass reaches the limit state (destruction) under external load, the work that is done by external loads is equal to the work that rock mass absorbs. Based on this premise, relevant equation can be established; thereby the calculation formula of slope stability coefficient can be derived. After analyzing typical numerical examples of slope and comparing to results of discrete element numerical simulation, the feasibility and applicability of this method are verified. A calculation of bedding rock slope located in Puli-Xuanwei highway in Yunnan province is achieved, the result shows that the stability coefficient is close to the result obtained from discrete element numerical simulation. The coefficient is slightly larger, but the slope is stable. It provides a new calculation method for evaluating the stability of this kind of slope. ©, 2015, Yantu Lixue/Rock and Soil Mechanics. All right reserved.",,,20151400700031,,"Wang, Zhi-De (1); Xia, Yuan-You (1); Xia, Guo-Bang (2); Li, Jing-Dong (2); Yang, Jin-Hua (1, 3) ","(1) School of Civil Engineering and Architecture, Wuhan University of Technology, Wuhan; Hubei; 430070, China (2) Yunnan Highway Development and Investment Co., Ltd., Kunming; Yunnan; 650200, China (3) School of Architectural Engineering, Yunnan Jiaotong College, Kunming; Yunnan; 650101, China ",,406.2 Roads and Streets - 483.1 Soils and Soil Mechanics - 921 Mathematics - 921.6 Numerical Methods - 951 Materials Science,,,,,Numerical methods - Numerical models - Rock mechanics - Rocks - Surface defects,"Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Wang, Zhi-De(wangzhide-wuhan@163.com) ",10.16285/j.rsm.2015.02.038,Engineering Village,Compendex,Journal article (JA),,,,,10007598,2,"February 10, 2015",Chinese,Slope stability,,13.0,576-583,,2015,Academia Sinica,Yantu Lixue/Rock and Soil Mechanics,,Upper bound limit analysis method for stability analysis of bedding rock slopes,,Bedding rock slope - Calculation formula - Dislocation effects - Limit analysis - Stability analysis - Stability coefficient - Upper bound limit analysis - Upper bound method,36,
